Timestamp,Universitas/Instansi,Program Studi,Semester,Berapa rentang IPK terakhir Anda?,Berapa rata-rata durasi tidur Anda pada hari kuliah?,Pada jam berapa biasanya Anda tidur di hari kuliah?  ,Seberapa sering Anda merasa tidur Anda cukup untuk mendukung aktivitas akademik?  ,Apakah Anda memiliki kebiasaan begadang karena tugas atau kegiatan lainnya?  ,Apakah Anda memiliki gangguan tidur seperti insomnia atau sleep apnea yang mungkin mempengaruhi kualitas tidur Anda?  ,Seberapa sering anda merasa mengantuk saat mengikuti kegiatan perkuliahan?,"Seberapa besar Anda merasa kualitas tidur mempengaruhi konsentrasi atau daya ingat saat belajar? (Skala 1-5, 1 = Tidak berpengaruh, 5 = Sangat berpengaruh)","Seberapa puas Anda dengan kualitas tidur Anda dalam sepekan terakhir? (Skala 1-5, 1 = Sangat tidak puas, 5 = Sangat puas)"
12/03/2025 23:12:47,Universitas Wahid Hasyim ,Teknik Informatika ,5-6,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,Hampir setiap hari,Ya,Selalu,5,4
12/03/2025 23:30:23,Universitas Wahid Hasyim,Teknik Informatika,5-6,"3,50 - 4,00",<4 jam,Dari pukul 00:00 - 01:59,Sering,Hampir setiap hari,Tidak,Sering,5,4
13/03/2025 1:13:21,Universitas wahid Hasyim,teknik informatika,5-6,"3,00 - 3,49",4 - 5 jam,Setelah pukul 02:00,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Sering,3,2
13/03/2025 1:36:44,Universitas Ivet,Teknik Permesinan Kapal,3-4,"3,00 - 3,49",4 - 5 jam,Setelah pukul 02:00,Kadang-kadang,Hampir setiap hari,Ya,Jarang,3,2
13/03/2025 1:36:45,unwahas,teknik informatika,5-6,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,1,3
13/03/2025 1:39:07,Universitas Indonesia,Teknik Informatika,5-6,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Ya,Kadang-kadang,3,3
13/03/2025 4:03:50,Unnes,Pgpaud,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Jarang,3-4 kali per minggu,Tidak,Selalu,5,4
13/03/2025 6:13:49,Universitas Wahid Hasyim,Tenik Informatika,5-6,"3,50 - 4,00",4 - 5 jam,Setelah pukul 02:00,Kadang-kadang,Hampir setiap hari,Ya,Jarang,2,3
13/03/2025 6:29:56,Universitas Wahid Hasyim,Teknik Informatika,5-6,"3,00 - 3,49",4 - 5 jam,Setelah pukul 02:00,Kadang-kadang,Hampir setiap hari,Tidak yakin,Sering,4,2
13/03/2025 6:59:47,IAIN KUDUS ,Bkpi,7-8,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Sering,1-2 kali per minggu,Tidak yakin,Kadang-kadang,4,3
13/03/2025 7:02:28,Universitas Muria Kudus ,Pendidikan Bahasa Inggris,≥ 8,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,Hampir setiap hari,Ya,Kadang-kadang,3,2
13/03/2025 7:25:00,universitas wahid hasyim,teknik informatika,7-8,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Selalu,1-2 kali per minggu,Tidak yakin,Kadang-kadang,5,2
13/03/2025 7:39:23,universitas wahid hasyim,teknik informatika,3-4,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Selalu,1-2 kali per minggu,Tidak,Jarang,1,5
13/03/2025 7:42:19,Universitas Wahid Hasyim ,Pendidikan agama Islam ,5-6,"3,50 - 4,00",4 - 5 jam,Pukul 22.00 - 23.59,Kadang-kadang,Tidak pernah,Tidak,Kadang-kadang,3,4
13/03/2025 7:46:44,universitas gunadarma,ilmu komunikasi,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Sering,4,4
13/03/2025 7:51:54,UNNES,PGPAUD,5-6,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Sering,3-4 kali per minggu,Tidak,Jarang,3,3
13/03/2025 8:02:34,Universitas Wahid Hasyim ,Teknik mesin ,1-2,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Jarang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,5,3
13/03/2025 8:05:11,Institut pesantren mathali'ul Falah ,PIAUD ,5-6,"3,50 - 4,00",<4 jam,Sebelum pukul 22:00,Kadang-kadang,1-2 kali per minggu,Tidak,Jarang,1,1
13/03/2025 8:10:39,universitas wahid hasyim,teknik mesin,5-6,"3,00 - 3,49",<4 jam,Setelah pukul 02:00,Tidak pernah,Hampir setiap hari,Ya,Kadang-kadang,3,3
13/03/2025 8:10:54,Unnes,pjkr,1-2,"2,50 - 2,99",4 - 5 jam,Sebelum pukul 22:00,Kadang-kadang,Hampir setiap hari,Tidak,Jarang,4,3
13/03/2025 8:11:15,undip,pjkr,3-4,"2,50 - 2,99",6 - 7 jam,Sebelum pukul 22:00,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,2,3
13/03/2025 8:14:00,Universitas Wahid Hasyim ,Teknik mesin ,3-4,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,4,2
13/03/2025 8:15:22,University of wahid Hasyim,teknik informatika ,5-6,"3,50 - 4,00",4 - 5 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,3,4
13/03/2025 8:17:10,Universitas Wahid Hasyim ,Ilmu Hukum,7-8,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,Hampir setiap hari,Ya,Kadang-kadang,3,2
13/03/2025 8:45:31,UNWAHAS,Pai,7-8,"3,50 - 4,00",4 - 5 jam,Pukul 22.00 - 23.59,Jarang,1-2 kali per minggu,Ya,Kadang-kadang,5,1
13/03/2025 9:00:49,Udayana,Psikologi,1-2,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak,Selalu,4,4
13/03/2025 9:04:05,UIN Sunan Kalijaga,PIAUD,7-8,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Sering,Hampir setiap hari,Tidak,Kadang-kadang,5,2
13/03/2025 9:04:51,Universitas Udayana,Psikologi,1-2,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Sering,1-2 kali per minggu,Tidak,Kadang-kadang,5,3
13/03/2025 9:04:59,Universitas Udayana,Psikologi,1-2,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Kadang-kadang,4,4
13/03/2025 9:06:10,Universitas Udayana ,Psikologi,1-2,"3,50 - 4,00",4 - 5 jam,Pukul 22.00 - 23.59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,4,3
13/03/2025 9:06:51,Universitas Udayana ,Psikologi,1-2,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Ya,Kadang-kadang,4,3
13/03/2025 9:26:22,Universitas Alma Ata Yogyakarta,Pendidikan Guru SD,5-6,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Sering,Tidak pernah,Tidak,Kadang-kadang,5,3
13/03/2025 9:28:21,Unwahas ,Pai,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Tidak pernah,5,4
13/03/2025 9:28:35,Universitas Wahid Hasyim ,Pendidikan Agama Islam ,1-2,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,3-4 kali per minggu,Tidak,Jarang,4,4
